method,date,hhi,effective_n,max_weight
Historical_CVaR,2022-02-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-03-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-04-29,0.0779456980698219,12.829444405055218,0.22341309397395634
Historical_CVaR,2022-05-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-06-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-07-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-08-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-09-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-10-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-11-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2022-12-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-01-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-02-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-03-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-04-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-05-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-06-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-07-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-08-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-09-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-10-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-11-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2023-12-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-01-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-02-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-03-28,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-04-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-05-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-06-28,0.05225706580111216,19.13616818452745,0.1102143310648731
Historical_CVaR,2024-07-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-08-30,0.06956970039340588,14.374073689338246,0.1858428613473162
Historical_CVaR,2024-09-30,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-10-31,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-11-29,0.009999999999999995,100.00000000000006,0.01
Historical_CVaR,2024-12-31,0.009999999999999995,100.00000000000006,0.01
