date,event,net_return,loss,turnover,kappa,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
2023-12-08,daily,-0.004467299792400838,0.004467299792400838,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-11,daily,-0.0005604869339844802,0.0005604869339844802,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-12,daily,0.0020278095093574757,-0.0020278095093574757,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-13,daily,0.02051027519874026,-0.02051027519874026,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-14,daily,0.004822695287099411,-0.004822695287099411,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-15,daily,-0.006710397976795604,0.006710397976795604,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-18,daily,-0.0015829436819403012,0.0015829436819403012,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-19,daily,0.006652798572078534,-0.006652798572078534,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-20,daily,-0.007452358867101854,0.007452358867101854,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-21,daily,0.006776339440548488,-0.006776339440548488,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-22,daily,0.002876029741735359,-0.002876029741735359,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-26,daily,0.0041698434009445045,-0.0041698434009445045,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
